GEOG,DISTNAME,TOT_POP,UND19,P_UND19,MED_AGE,P_WHITE,P_HISP,P_BLACK,P_ASIAN,P_OTHER,P_UNEMP
Albany Park,1,52079,13550,26,34,29,48,4,16,2,5
Archer Heights,2,13266,4205,32,32,19,76,1,3,1,6
Armour Square,3,14068,3029,22,42,11,3,10,73,3,8
Ashburn,4,42752,12506,29,36,13,36,49,1,1,7
Auburn Gresham,5,45842,12050,26,39,1,2,97,0,1,11
Austin,6,97643,28457,29,35,4,11,83,0,1,8
Avalon Park,7,9780,2031,21,45,1,1,97,1,1,10
Avondale,8,39721,10176,26,32,31,62,2,3,2,4
Belmont Cragin,9,79159,25314,32,32,14,80,3,1,1,6
Beverly,10,20815,5466,26,43,56,7,35,0,2,4
Bridgeport,11,33878,7632,23,36,32,28,3,35,3,6
Brighton Park,12,44202,15143,34,31,6,85,2,7,0,6
Burnside,13,2601,751,29,37,0,0,100,0,0,9
Calumet Heights,14,13732,2760,20,47,2,3,93,0,1,8
Chatham,15,31392,7526,24,41,1,1,97,0,1,10
Chicago Lawn,16,55551,18975,34,30,3,47,47,1,1,10
Clearing,17,24962,6574,26,36,48,50,1,1,1,5
Douglas,18,20323,4185,21,33,11,2,71,14,2,7
Dunning,19,43025,9829,23,41,66,27,2,4,1,4
East Garfield Park,20,20656,6965,34,30,4,4,91,0,1,7
East Side,21,23784,8281,35,31,17,80,3,0,0,8
Edgewater,22,54873,7999,15,38,55,16,14,12,3,5
Edison Park,23,11208,2456,22,41,87,9,1,1,1,3
Englewood,24,26121,8266,32,31,1,3,95,0,1,14
Forest Glen,25,18459,5030,27,43,72,12,1,13,2,3
Fuller Park,26,2543,568,22,44,3,7,89,1,0,13
Gage Park,27,41202,14775,36,29,4,92,3,1,0,8
Garfield Ridge,28,35570,9027,25,39,47,47,4,1,1,6
Grand Boulevard,29,22373,6243,28,37,3,3,91,1,3,10
Greater Grand Crossing,30,32346,9327,29,36,1,1,96,0,1,11
Hegewisch,31,8985,2199,24,39,45,47,6,0,1,4
Hermosa,32,25489,7913,31,31,7,88,1,1,2,5
Humboldt Park,33,55011,17991,33,30,5,52,41,0,1,8
Hyde Park,34,26893,5987,22,31,47,7,30,12,4,4
Irving Park,35,56520,13440,24,35,40,47,2,8,3,4
Jefferson Park,36,27264,5947,22,40,65,23,1,9,2,6
Kenwood,37,17601,3464,20,37,17,4,68,9,3,8
Lake View,38,98212,11355,12,31,80,7,3,7,3,3
Lincoln Park,39,66959,11986,18,30,80,7,5,6,3,3
Lincoln Square,40,40761,6995,17,35,65,18,3,11,3,5
Logan Square,41,73702,15958,22,32,44,47,5,3,2,4
Lower West Side,42,34410,9429,27,31,13,80,3,2,1,6
McKinley Park,43,16336,4724,29,33,17,59,3,19,2,7
Montclare,44,13024,3409,26,36,28,62,4,5,1,5
Morgan Park,45,22924,5741,25,43,29,3,66,0,2,6
Mount Greenwood,46,18783,5513,29,36,87,6,4,2,1,4
Near North Side,47,85711,7721,9,34,72,5,9,11,3,4
Near South Side,48,22401,3634,16,35,46,6,24,20,3,3
Near West Side,49,61768,12086,20,30,42,10,30,16,2,6
New City,50,40997,13788,34,30,12,61,24,2,1,10
North Center,51,34623,7493,22,34,76,14,2,4,3,3
North Lawndale,52,35276,12408,35,29,2,7,89,0,1,8
North Park,53,18442,4406,24,38,51,20,3,25,2,5
Norwood Park,54,36247,7398,20,44,81,12,1,4,2,4
O'Hare,55,13695,3011,22,37,75,8,1,11,4,5
Oakland,56,6422,2248,35,33,2,3,93,2,0,11
Portage Park,57,64841,15210,23,38,50,42,1,4,2,5
Pullman,58,6501,1531,24,40,7,8,83,1,1,10
Riverdale,59,7090,3466,49,21,1,4,94,0,0,14
Rogers Park,60,54402,11852,22,34,42,24,24,6,3,6
Roseland,61,42505,11631,27,39,1,1,96,0,1,11
South Chicago,62,28095,8536,30,34,3,22,74,0,1,10
South Deering,63,15305,4415,29,37,4,30,65,0,1,12
South Lawndale,64,73826,24137,33,29,3,85,11,0,0,5
South Shore,65,51451,13856,27,37,2,2,93,0,2,10
The Loop,66,33442,4915,15,32,61,6,12,17,3,4
Uptown,67,55137,6638,12,37,55,12,21,9,4,6
Washington Heights,68,27116,6112,23,43,1,1,96,0,2,10
Washington Park,69,12081,4876,40,27,0,1,96,0,2,13
West Elsdon,70,19219,6366,33,31,17,80,1,2,0,7
West Englewood,71,32156,9584,30,35,1,5,93,0,1,14
West Garfield Park,72,17742,6237,35,29,2,2,96,0,0,6
West Lawn,73,32749,10654,33,32,15,81,3,1,0,7
West Pullman,74,27982,8308,30,36,1,5,93,0,1,11
West Ridge,75,72211,19462,27,36,44,18,11,23,4,4
West Town,76,86429,15453,18,32,58,27,7,4,3,4
Woodlawn,77,24150,8195,34,31,8,2,85,3,2,9
